SMILES,bacteria,MIC (µg/mL),MIC (µmol/mL),log MIC,S. aureus,molar_mass
O=C(O)COCC(=O)NC=1C=CC(=CC1)C2=NC3=NC=CC=C3N2,MRSA,12.5,0.038299999999999994,1.5831987739686226,+,326.312
O=C(O)CSCC(=O)NC=1C=CC(=CC1)C2=NC3=NC=CC=C3N2,MRSA,3.12,0.00912,0.959994838328416,+,342.38000000000005
[Cl-].OC=1C(OC)=CC(C2=NC=3C=CC=CC3N2)=C4C=C5C=6C=C7OCOC7=CC6CC[N+]5=CC14,MRSA N315,0.03,6.8e-05,-1.1674910872937636,+,473.9160000000004
[Cl-].ClC1=CC=C2NC(=NC2=C1)C=3C=C(OC)C(O)=C4C=[N+]5C(=CC34)C=6C=C7OCOC7=CC6CC5,MRSA N315,0.02,3.1e-05,-1.5086383061657274,+,508.3610000000004
[Cl-].BrC1=CC=C2NC(=NC2=C1)C=3C=C(OC)C(O)=C4C=[N+]5C(=CC34)C=6C=C7OCOC7=CC6CC5,MRSA N315,0.14,0.000247,-0.6073030467403343,+,552.8120000000002
[Cl-].OC=1C(OC)=CC(C2=NC3=CC(=CC=C3N2)C)=C4C=C5C=6C=C7OCOC7=CC6CC[N+]5=CC14,MRSA N315,0.02,3.3e-05,-1.4814860601221125,+,487.9430000000004
[Cl-].OC=1C(OC)=CC(C2=NC3=CC=C(OC)C=C3N2)=C4C=C5C=6C=C7OCOC7=CC6CC[N+]5=CC14,MRSA N315,0.13,0.000254,-0.595166283380062,+,503.94200000000035
[Cl-].OC=1C(OC)=CC(C2=NC=3C=CC=CC3N2CC)=C4C=C5C=6C=C7OCOC7=CC6CC[N+]5=CC14,MRSA N315,0.01,1.6e-05,-1.7958800173440752,+,501.9700000000004
[Cl-].OC=1C(OC)=CC(C2=NC=3C=CC=CC3N2CCCC)=C4C=C5C=6C=C7OCOC7=CC6CC[N+]5=CC14,MRSA N315,0.06,0.000121,-0.91721462968355,+,530.0240000000005
[Cl-].OC=1C(OC)=CC(C2=NC=3C=CC=CC3N2CCCCC)=C4C=C5C=6C=C7OCOC7=CC6CC[N+]5=CC14,MRSA N315,0.03,5.9e-05,-1.2291479883578558,+,544.0510000000005
[Cl-].OC=1C(OC)=CC(C2=NC=3C=CC=CC3N2CCCCCC)=C4C=C5C=6C=C7OCOC7=CC6CC[N+]5=CC14,MRSA N315,0.06,0.000115,-0.9393021596463884,+,558.0780000000004
[Cl-].OC=1C(OC)=CC(C2=NC=3C=CC=CC3N2CCCCCCCC)=C4C=C5C=6C=C7OCOC7=CC6CC[N+]5=CC14,MRSA N315,0.13,0.00021799999999999999,-0.6615435063953952,+,586.1320000000003
[Cl-].OC=1C(OC)=CC(C2=NC=3C=CC=CC3N2CCCCCCCCCC)=C4C=C5C=6C=C7OCOC7=CC6CC[N+]5=CC14,MRSA N315,0.13,0.000208,-0.6819366650372385,+,614.1860000000004
[Cl-].OC=1C(OC)=CC(C2=NC=3C=CC=CC3N2CC4CC4)=C5C=C6C=7C=C8OCOC8=CC7CC[N+]6=CC15,MRSA N315,0.13,0.000242,-0.6161846340195687,+,528.0080000000005
[Cl-].OC=1C(OC)=CC(C2=NC=3C=CC=CC3N2CC4CCCCC4)=C5C=C6C=7C=C8OCOC8=CC7CC[N+]6=CC15,MRSA N315,0.13,0.000225,-0.6478174818886375,+,570.0890000000003
[Cl-].OC=1C(OC)=CC(C2=NC=3C=CC=CC3N2CC=C)=C4C=C5C=6C=C7OCOC7=CC6CC[N+]5=CC14,MRSA N315,0.13,0.000249,-0.6038006529042637,+,513.9810000000004
[Cl-].C#CCN1C(=NC=2C=CC=CC21)C=3C=C(OC)C(O)=C4C=[N+]5C(=CC34)C=6C=C7OCOC7=CC6CC5,MRSA N315,0.13,0.00025,-0.6020599913279624,+,511.96500000000043
[Cl-].OC=1C(OC)=CC(C2=NC=3C=CC=CC3N2CCO)=C4C=C5C=6C=C7OCOC7=CC6CC[N+]5=CC14,MRSA N315,0.13,0.000247,-0.6073030467403343,+,517.9690000000004
[Cl-].OC=1C(OC)=CC(C2=NC=3C=CC=CC3N2CCN(C)C)=C4C=C5C=6C=C7OCOC7=CC6CC[N+]5=CC14,MRSA N315,0.26,0.00047,-0.3279021420642826,+,545.0390000000004
[Cl-].OC=1C(OC)=CC(C2=NC=3C=CC=CC3N2CCN4CCOCC4)=C5C=C6C=7C=C8OCOC8=CC7CC[N+]6=CC15,MRSA N315,0.13,0.00021799999999999999,-0.6615435063953952,+,587.0760000000002
[Cl-].FC=1C=CC=CC1CN2C(=NC=3C=CC=CC32)C=4C=C(OC)C(O)=C5C=[N+]6C(=CC45)C=7C=C8OCOC8=CC7CC6,MRSA N315,0.01,1.4e-05,-1.853871964321762,+,582.0310000000002
[Cl-].FC1=CC=C(C(F)=C1)CN2C(=NC=3C=CC=CC32)C=4C=C(OC)C(O)=C5C=[N+]6C(=CC45)C=7C=C8OCOC8=CC7CC6,MRSA N315,0.06,0.000107,-0.9706162223147904,+,600.0210000000001
[Cl-].ClC=1C=CC=CC1CN2C(=NC=3C=CC=CC32)C=4C=C(OC)C(O)=C5C=[N+]6C(=CC45)C=7C=C8OCOC8=CC7CC6,MRSA N315,0.13,0.000214,-0.6695862266508091,+,598.4860000000001
[Cl-].ClC1=CC=C(C(Cl)=C1)CN2C(=NC=3C=CC=CC32)C=4C=C(OC)C(O)=C5C=[N+]6C(=CC45)C=7C=C8OCOC8=CC7CC6,MRSA N315,0.0,6e-06,-2.221848749616356,+,632.931
[Cl-].ClC1=CC=C(C=C1Cl)CN2C(=NC=3C=CC=CC32)C=4C=C(OC)C(O)=C5C=[N+]6C(=CC45)C=7C=C8OCOC8=CC7CC6,MRSA N315,0.06,0.000101,-0.9956786262173574,+,632.931
[Cl-].O=C(N1CCCC1)CN2C(=NC=3C=CC=CC32)C=4C=C(OC)C(O)=C5C=[N+]6C(=CC45)C=7C=C8OCOC8=CC7CC6,MRSA N315,0.13,0.000219,-0.6595558851598816,+,585.0600000000002
[Cl-].O=C(N1CCOCC1)CN2C(=NC=3C=CC=CC32)C=4C=C(OC)C(O)=C5C=[N+]6C(=CC45)C=7C=C8OCOC8=CC7CC6,MRSA N315,0.13,0.000213,-0.6716203965612623,+,601.0590000000001
[Cl-].O=C(N(CC)CC)CN1C(=NC=2C=CC=CC21)C=3C=C(OC)C(O)=C4C=[N+]5C(=CC34)C=6C=C7OCOC7=CC6CC5,MRSA N315,0.13,0.00021799999999999999,-0.6615435063953952,+,587.0760000000001
[Cl-].O=C(N(C(C)C)C(C)C)CN1C(=NC=2C=CC=CC21)C=3C=C(OC)C(O)=C4C=[N+]5C(=CC34)C=6C=C7OCOC7=CC6CC5,MRSA N315,0.13,0.000208,-0.6819366650372385,+,615.13
[Cl-].O=C(OC(C)(C)C)CN1C(=NC=2C=CC=CC21)C=3C=C(OC)C(O)=C4C=[N+]5C(=CC34)C=6C=C7OCOC7=CC6CC5,MRSA N315,0.13,0.00021799999999999999,-0.6615435063953952,+,588.0600000000002
O=C(OCC)C1=C(NC(=O)NC1C=2OC=CC2)CN3C=NC=4C=CC=CC43,"MRSA, Methicillin-Resistant S. aureusN315",256.0,0.6987338178979574,2.8443117631070005,+,366.37700000000007
